Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM,file
tech.tablesaw.columns.numbers,FloatColumnType,15.0,0.0,6.0,6.0,1.0666666666666669,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/FloatColumnType.java'
tech.tablesaw.aggregate,DateAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/DateAggregateFunction.java'
tech.tablesaw.aggregate,BooleanIntAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/BooleanIntAggregateFunction.java'
tech.tablesaw.aggregate,NumericAggregateFunction,3.0,0.0,3.0,3.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/NumericAggregateFunction.java'
tech.tablesaw.aggregate,TimeAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/TimeAggregateFunction.java'
tech.tablesaw.columns.dates,DateColumnFormatter,10.0,0.0,5.0,5.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/dates/DateColumnFormatter.java'
tech.tablesaw.io.xlsx,XlsxWriter,3.0,0.0,3.0,3.0,1.0,1.0,'tablesaw/excel/src/main/java/tech/tablesaw/io/xlsx/XlsxWriter.java'
tech.tablesaw.plotly.traces,TraceBuilder,55.0,55.0,12.0,12.0,1.011111111111111,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/traces/TraceBuilder.java'
tech.tablesaw.aggregate,StringAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/StringAggregateFunction.java'
tech.tablesaw.aggregate,InstantAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/InstantAggregateFunction.java'
tech.tablesaw.plotly.api,ScatterPlot,3.0,0.0,3.0,3.0,1.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/ScatterPlot.java'
tech.tablesaw.plotly.api,LinePlot,3.0,0.0,3.0,3.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/LinePlot.java'
tech.tablesaw.plotly.api,AreaPlot,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/AreaPlot.java'
tech.tablesaw.plotly.api,VerticalBarPlot,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/VerticalBarPlot.java'
tech.tablesaw.plotly.api,ContourPlot,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/ContourPlot.java'
tech.tablesaw.plotly.api,HorizontalBarPlot,1.0,0.0,2.0,2.0,0.0,1.0,'tablesaw/jsplot/src/main/java/tech/tablesaw/plotly/api/HorizontalBarPlot.java'
tech.tablesaw.aggregate,BooleanAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/BooleanAggregateFunction.java'
tech.tablesaw.aggregate,DateTimeAggregateFunction,6.0,0.0,4.0,4.0,0.0,1.0,'tablesaw/core/src/main/java/tech/tablesaw/aggregate/DateTimeAggregateFunction.java'
tech.tablesaw.columns.numbers,DoubleColumnType,15.0,0.0,6.0,6.0,1.0666666666666669,1.0,'tablesaw/core/src/main/java/tech/tablesaw/columns/numbers/DoubleColumnType.java'
