name,fan-in,fan-out,bacon,rank,instability
__main__,0,1,0,0.008507799381363788,1.0
pandas.core.api,1,7,2,0.014532894371391245,0.875
pandas.core.config_init,1,6,2,0.014532894371391245,0.8571428571428571
pandas.errors,1,4,2,0.014532894371391245,0.8
pandas.util._print_versions,1,3,2,0.014532894371391245,0.75
pandas.tseries.api,1,3,2,0.014532894371391245,0.75
pandas.io.json._normalize,1,3,2,0.014532894371391245,0.75
pandas.io.api,1,3,2,0.014532894371391245,0.75
pandas.core.reshape.api,1,3,2,0.014532894371391245,0.75
pandas.core.computation.api,1,3,2,0.014532894371391245,0.75
pandas.arrays,1,3,2,0.014532894371391245,0.75
pandas.util._tester,1,2,2,0.014532894371391245,0.6666666666666666
pandas.core.arrays.sparse,3,4,2,0.02744916307401182,0.5714285714285714
pandas,26,32,1,0.22682640378877186,0.5517241379310345
pandas.api,2,2,2,0.025275054323215373,0.5
pandas.testing,1,1,2,0.014532894371391245,0.5
pandas.core.arrays,5,4,2,0.03333157409796571,0.4444444444444444
pandas.io.json,4,3,2,0.04553003269341336,0.42857142857142855
pandas.util,4,3,2,0.0303335029866812,0.42857142857142855
pandas.tseries,4,3,2,0.028486678603075882,0.42857142857142855
pandas.plotting,3,2,2,0.02885577430715675,0.4
pandas._config,4,2,2,0.034226854283068806,0.3333333333333333
pandas.tseries.offsets,4,2,2,0.028486678603075882,0.3333333333333333
pandas.compat,4,2,2,0.04317865424292225,0.3333333333333333
pandas.io,6,3,2,0.04935359985898339,0.3333333333333333
pandas._libs,6,2,2,0.06193377556173304,0.25
pandas._libs.hashtable,1,0,2,0.014532894371391245,0.0
pandas._libs.lib,1,0,2,0.014532894371391245,0.0
pandas.core,9,0,2,0.052220448500831455,0.0
pandas._libs.tslib,1,0,2,0.014532894371391245,0.0
pandas._version,2,0,2,0.018650582088158965,0.0
pandas.core.reshape,2,0,2,0.018650582088158965,0.0
pandas.core.computation,3,0,2,0.020709425946542827,0.0
