name,fan-in,fan-out,bacon,rank,instability
__main__,0,1,0,0.008507799381363788,1.0
pandas.core.api,1,7,2,0.014532894371391245,0.875
pandas.core.config_init,1,6,2,0.014532894371391245,0.8571428571428571
pandas.errors,1,4,2,0.014532894371391245,0.8
pandas.util._print_versions,1,3,2,0.014532894371391245,0.75
pandas.tseries.api,1,3,2,0.014532894371391245,0.75
pandas.io.json._normalize,1,3,2,0.014532894371391245,0.75
pandas.io.api,1,3,2,0.014532894371391245,0.75
pandas.core.reshape.api,1,3,2,0.014532894371391245,0.75
pandas.core.computation.api,1,3,2,0.014532894371391245,0.75
pandas.arrays,1,3,2,0.014532894371391245,0.75
pandas.util._tester,1,2,2,0.014532894371391245,0.6666666666666666
pandas.testing,1,1,2,0.014532894371391245,0.5
pandas._libs.hashtable,1,0,2,0.014532894371391245,0.0
pandas._libs.lib,1,0,2,0.014532894371391245,0.0
pandas._libs.tslib,1,0,2,0.014532894371391245,0.0
